frame,t,car_emblem,door_handle,fuel_cap,license_plate,side_mirror,tail_light,zone,yaw_fresh,dist,yaw,bearing,x,y,alpha_deg
152,5.07,0,2,1,0,1,1,후측면,0,,,,,,
153,5.1,0,2,1,0,1,1,후측면,0,,,,,,
154,5.13,0,2,1,0,1,1,후측면,0,,,,,,
155,5.17,0,2,1,0,1,1,후측면,0,,,,,,
156,5.2,0,2,1,0,1,1,후측면,0,,,,,,
157,5.23,0,2,1,0,1,1,후측면,0,,,,,,
158,5.27,0,2,1,0,1,1,후측면,0,,,,,,
159,5.3,0,2,1,0,1,1,후측면,0,,,,,,
160,5.33,0,2,1,0,1,1,후측면,0,,,,,,
161,5.37,0,2,1,0,1,1,후측면,0,,,,,,
162,5.4,0,2,1,0,1,1,후측면,0,,,,,,
163,5.43,0,2,1,0,1,1,후측면,0,,,,,,
164,5.47,0,2,1,0,1,1,후측면,0,,,,,,
165,5.5,0,2,1,0,1,1,후측면,0,,,,,,
166,5.53,0,2,1,0,1,1,후측면,0,,,,,,
167,5.57,0,2,1,0,1,1,후측면,0,,,,,,
168,5.6,0,2,1,0,1,1,후측면,0,,,,,,
169,5.63,0,2,1,0,1,1,후측면,0,,,,,,
170,5.67,0,2,1,0,1,1,후측면,0,,,,,,
171,5.7,0,2,1,0,1,1,후측면,0,,,,,,
172,5.73,0,2,1,0,1,1,후측면,0,,,,,,
173,5.77,0,2,1,0,1,1,후측면,0,,,,,,
174,5.8,0,2,1,0,1,1,후측면,0,,,,,,
175,5.83,0,2,1,0,1,1,후측면,0,,,,,,
176,5.87,0,2,1,0,1,1,후측면,0,,,,,,
177,5.9,0,2,1,0,1,1,후측면,0,,,,,,
178,5.93,0,2,1,0,1,1,후측면,0,,,,,,
179,5.97,0,2,1,0,1,1,후측면,0,,,,,,
180,6.0,0,2,1,0,1,1,후측면,0,,,,,,
181,6.03,0,2,1,0,1,1,후측면,0,,,,,,
182,6.07,0,2,1,0,1,1,후측면,0,,,,,,
183,6.1,0,2,1,0,1,1,후측면,0,,,,,,
184,6.13,0,2,1,0,1,1,후측면,0,,,,,,
185,6.17,0,2,1,0,1,1,후측면,0,,,,,,
186,6.2,0,2,1,0,1,1,후측면,0,,,,,,
187,6.23,0,2,1,0,1,1,후측면,0,,,,,,
188,6.27,0,2,1,0,1,1,후측면,0,,,,,,
189,6.3,0,2,1,0,1,1,후측면,0,,,,,,
190,6.33,0,2,1,0,1,1,후측면,0,,,,,,
191,6.37,0,2,1,0,1,1,후측면,0,,,,,,
192,6.4,0,2,1,0,1,1,후측면,0,,,,,,
193,6.43,0,2,1,0,1,1,후측면,0,,,,,,
194,6.47,0,2,1,0,1,1,후측면,0,,,,,,
195,6.5,0,2,1,0,1,0,후측면,0,,,,,,
196,6.53,0,2,1,0,1,0,후측면,0,,,,,,
197,6.57,0,2,1,0,1,0,후측면,0,,,,,,
198,6.6,0,2,0,0,1,0,후측면,0,,,,,,
199,6.63,0,2,0,0,1,0,측면,0,,,,,,
200,6.67,0,2,0,0,1,0,측면,0,,,,,,
201,6.7,0,2,0,0,1,0,측면,0,,,,,,
202,6.73,0,2,0,0,1,0,측면,0,,,,,,
203,6.77,0,2,0,0,1,0,측면,0,,,,,,
204,6.8,0,2,0,0,1,0,측면,0,,,,,,
205,6.83,0,2,0,0,1,0,측면,0,,,,,,
206,6.87,0,2,0,0,1,0,측면,0,,,,,,
207,6.9,0,2,0,0,1,0,측면,0,,,,,,
208,6.93,0,2,0,0,1,0,측면,0,,,,,,
209,6.97,0,2,0,0,1,0,측면,0,,,,,,
210,7.0,0,2,0,0,1,0,측면,0,,,,,,
211,7.03,0,2,0,0,1,0,측면,0,,,,,,
212,7.07,0,2,0,0,1,0,측면,0,,,,,,
213,7.1,0,2,0,0,1,0,측면,0,,,,,,
214,7.13,0,2,0,0,1,0,측면,0,,,,,,
215,7.17,0,2,0,0,1,0,측면,0,,,,,,
216,7.2,0,2,0,0,1,0,측면,0,,,,,,
217,7.23,0,2,0,0,1,0,측면,0,,,,,,
218,7.27,0,2,0,0,1,0,측면,0,,,,,,
219,7.3,0,2,0,0,1,0,측면,0,,,,,,
220,7.33,0,2,0,0,1,0,측면,0,,,,,,
221,7.37,0,2,0,0,1,0,측면,0,,,,,,
222,7.4,0,2,0,0,1,0,측면,0,,,,,,
223,7.43,0,2,0,0,1,0,측면,0,,,,,,
224,7.47,0,2,0,0,1,0,측면,0,,,,,,
225,7.5,0,2,0,0,1,0,측면,0,,,,,,
226,7.53,0,2,0,0,1,0,측면,0,,,,,,
227,7.57,0,2,0,0,1,0,측면,0,,,,,,
228,7.6,0,2,0,0,1,0,측면,0,,,,,,
229,7.63,0,2,0,0,1,0,측면,0,,,,,,
230,7.67,0,1,0,0,1,0,측면,0,,,,,,
231,7.7,0,1,0,0,1,0,측면,0,,,,,,
232,7.73,0,1,0,0,1,0,측면,0,,,,,,
233,7.77,0,1,0,0,1,0,측면,0,,,,,,
234,7.8,0,1,0,0,1,0,측면,0,,,,,,
235,7.83,0,1,0,0,1,0,측면,0,,,,,,
236,7.87,0,1,0,0,1,0,측면,0,,,,,,
237,7.9,0,1,0,0,1,0,측면,0,,,,,,
238,7.93,0,1,0,0,1,0,측면,0,,,,,,
239,7.97,0,1,0,0,1,0,측면,0,,,,,,
240,8.0,0,1,0,0,1,0,측면,0,,,,,,
241,8.03,0,1,0,0,1,0,측면,0,,,,,,
242,8.07,0,1,0,0,1,0,측면,0,,,,,,
243,8.1,0,1,0,0,1,0,측면,0,,,,,,
244,8.13,0,1,0,0,1,0,측면,0,,,,,,
245,8.17,0,1,0,0,1,0,측면,0,,,,,,
246,8.2,0,1,0,0,1,0,측면,0,,,,,,
247,8.23,0,1,0,0,1,0,측면,0,,,,,,
248,8.27,0,1,0,0,1,0,측면,0,,,,,,
249,8.3,0,1,0,0,1,0,측면,0,,,,,,
250,8.33,0,1,0,0,1,0,측면,0,,,,,,
251,8.37,0,1,0,0,1,0,측면,0,,,,,,
252,8.4,0,1,0,0,1,0,측면,0,,,,,,
253,8.43,0,1,0,0,1,0,측면,0,,,,,,
254,8.47,0,1,0,0,1,0,측면,0,,,,,,
255,8.5,0,1,0,0,1,0,측면,0,,,,,,
256,8.53,0,1,0,0,1,0,측면,0,,,,,,
257,8.57,0,1,0,0,1,0,측면,0,,,,,,
258,8.6,0,1,0,0,1,0,측면,0,,,,,,
259,8.63,0,1,0,0,1,0,측면,0,,,,,,
260,8.67,0,1,0,0,1,0,측면,0,,,,,,
261,8.7,0,1,0,0,1,0,측면,0,,,,,,
262,8.73,0,1,0,0,1,0,측면,0,,,,,,
263,8.77,0,1,0,0,1,0,측면,0,,,,,,
264,8.8,0,1,0,0,1,0,측면,0,,,,,,
265,8.83,0,1,0,0,1,0,측면,0,,,,,,
266,8.87,0,1,0,0,1,0,측면,0,,,,,,
267,8.9,0,1,0,0,1,0,측면,0,,,,,,
268,8.93,0,1,0,0,1,0,측면,0,,,,,,
269,8.97,0,1,0,0,1,0,측면,0,,,,,,
270,9.0,0,1,0,0,1,0,측면,0,,,,,,
271,9.03,0,1,0,0,1,0,측면,0,,,,,,
272,9.07,0,1,0,0,1,0,측면,0,,,,,,
273,9.1,0,1,0,0,1,0,측면,0,,,,,,
274,9.13,0,1,0,0,1,0,측면,0,,,,,,
275,9.17,0,1,0,0,1,0,측면,0,,,,,,
276,9.2,0,1,0,0,1,0,측면,0,,,,,,
277,9.23,0,1,0,0,1,0,측면,0,,,,,,
278,9.27,0,1,0,0,1,0,측면,0,,,,,,
279,9.3,0,1,0,0,1,0,측면,0,,,,,,
280,9.33,0,1,0,0,1,0,측면,0,,,,,,
281,9.37,0,1,0,0,1,0,측면,0,,,,,,
282,9.4,0,1,0,0,1,0,측면,0,,,,,,
283,9.43,0,1,0,0,1,0,측면,0,,,,,,
284,9.47,0,1,0,0,1,0,측면,0,,,,,,
285,9.5,0,1,0,0,1,0,측면,0,,,,,,
286,9.53,0,1,0,0,1,0,측면,0,,,,,,
287,9.57,0,1,0,0,1,0,측면,0,,,,,,
288,9.6,0,1,0,0,1,0,측면,0,,,,,,
289,9.63,0,1,0,0,1,0,측면,0,,,,,,
290,9.67,0,1,0,0,1,0,측면,0,,,,,,
291,9.7,0,1,0,0,1,0,측면,0,,,,,,
292,9.73,0,1,0,0,1,0,측면,0,,,,,,
293,9.77,0,1,0,0,1,0,측면,0,,,,,,
294,9.8,0,1,0,0,1,0,측면,0,,,,,,
295,9.83,0,1,0,0,1,0,측면,0,,,,,,
296,9.87,0,1,0,0,1,0,측면,0,,,,,,
297,9.9,0,1,0,0,1,0,측면,0,,,,,,
298,9.93,0,1,0,0,1,0,측면,0,,,,,,
299,9.97,0,1,0,0,1,0,측면,0,,,,,,
300,10.0,0,1,0,0,1,0,측면,0,,,,,,
301,10.03,0,1,0,0,1,0,측면,0,,,,,,
302,10.07,0,1,0,0,1,0,측면,0,,,,,,
303,10.1,0,1,0,0,1,0,측면,0,,,,,,
304,10.13,0,1,0,0,1,0,측면,0,,,,,,
305,10.17,0,2,0,0,1,0,측면,0,,,,,,
306,10.2,0,2,0,0,1,0,측면,0,,,,,,
307,10.23,0,2,0,0,1,0,측면,0,,,,,,
308,10.27,0,2,0,0,1,0,측면,0,,,,,,
309,10.3,0,2,0,0,1,0,측면,0,,,,,,
310,10.33,0,2,0,0,1,0,측면,0,,,,,,
311,10.37,0,2,0,0,1,0,측면,0,,,,,,
312,10.4,0,2,0,0,1,0,측면,0,,,,,,
313,10.43,0,2,0,0,1,0,측면,0,,,,,,
314,10.47,0,2,0,0,1,0,측면,0,,,,,,
315,10.5,0,2,0,0,1,0,측면,0,,,,,,
316,10.53,0,2,0,0,1,0,측면,0,,,,,,
317,10.57,0,2,0,0,1,0,측면,0,,,,,,
318,10.6,0,2,0,0,1,0,측면,0,,,,,,
319,10.63,0,2,0,0,1,0,측면,0,,,,,,
320,10.67,0,2,0,0,1,0,측면,0,,,,,,
321,10.7,0,2,0,0,1,0,측면,0,,,,,,
322,10.73,0,2,1,0,1,0,측면,0,,,,,,
323,10.77,0,2,1,0,1,1,측면,0,,,,,,
324,10.8,0,2,1,0,1,1,측면,0,,,,,,
325,10.83,0,2,1,0,1,1,측면,0,,,,,,
326,10.87,0,2,1,0,1,1,측면,0,,,,,,
327,10.9,0,2,1,0,1,1,후측면,0,,,,,,
328,10.93,0,2,1,0,1,1,후측면,0,,,,,,
329,10.97,0,2,1,0,1,1,후측면,0,,,,,,
330,11.0,0,2,1,0,1,1,후측면,0,,,,,,
331,11.03,0,2,1,0,1,1,후측면,0,,,,,,
332,11.07,0,2,1,0,1,1,후측면,0,,,,,,
333,11.1,0,2,1,0,1,1,후측면,0,,,,,,
334,11.13,0,2,1,0,1,1,후측면,0,,,,,,
335,11.17,0,2,1,0,1,1,후측면,0,,,,,,
336,11.2,0,2,1,0,1,1,후측면,0,,,,,,
337,11.23,0,2,1,0,1,1,후측면,0,,,,,,
338,11.27,0,2,1,0,1,1,후측면,0,,,,,,
339,11.3,0,2,1,0,1,1,후측면,0,,,,,,
340,11.33,0,2,1,0,1,1,후측면,0,,,,,,
341,11.37,0,2,1,0,1,1,후측면,0,,,,,,
342,11.4,0,2,1,0,1,1,후측면,0,,,,,,
343,11.43,0,2,1,0,1,1,후측면,0,,,,,,
344,11.47,0,2,1,0,1,1,후측면,0,,,,,,
345,11.5,0,2,1,0,0,1,후측면,0,,,,,,
346,11.53,0,2,1,0,0,1,후측면,0,,,,,,
347,11.57,0,2,1,0,0,1,후측면,0,,,,,,
348,11.6,0,2,1,0,0,1,후측면,0,,,,,,
349,11.63,0,2,1,0,0,1,후측면,0,,,,,,
350,11.67,0,2,1,0,0,1,후측면,0,,,,,,
351,11.7,0,2,1,0,0,1,후측면,0,,,,,,
352,11.73,0,2,1,0,0,1,후측면,0,,,,,,
353,11.77,0,2,1,0,0,1,후측면,0,,,,,,
354,11.8,0,2,1,0,0,1,후측면,0,,,,,,
355,11.83,0,2,1,0,0,1,후측면,0,,,,,,
356,11.87,0,2,1,0,0,1,후측면,0,,,,,,
357,11.9,0,2,1,0,0,1,후측면,0,,,,,,
358,11.93,0,2,1,0,0,1,후측면,0,,,,,,
359,11.97,0,2,1,0,0,1,후측면,0,,,,,,
360,12.0,0,2,1,0,0,1,후측면,0,,,,,,
361,12.03,0,2,1,0,0,1,후측면,0,,,,,,
362,12.07,0,2,1,0,0,1,후측면,0,,,,,,
363,12.1,0,2,1,0,0,1,후측면,0,,,,,,
364,12.13,0,2,1,0,0,1,후측면,0,,,,,,
365,12.17,0,2,1,0,0,1,후측면,0,,,,,,
366,12.2,0,2,1,0,0,1,후측면,0,,,,,,
367,12.23,0,2,1,0,0,1,후측면,0,,,,,,
368,12.27,0,2,1,0,0,1,후측면,0,,,,,,
369,12.3,0,2,1,0,0,1,후측면,0,,,,,,
370,12.33,0,2,1,0,0,1,후측면,0,,,,,,
371,12.37,0,2,1,0,0,1,후측면,0,,,,,,
372,12.4,0,2,1,0,0,1,후측면,0,,,,,,
373,12.43,0,2,1,0,0,1,후측면,0,,,,,,
374,12.47,0,2,1,0,0,1,후측면,0,,,,,,
375,12.5,0,2,1,0,0,1,후측면,0,,,,,,
376,12.53,0,2,1,0,0,1,후측면,0,,,,,,
377,12.57,0,2,1,0,0,1,후측면,0,,,,,,
378,12.6,0,2,1,0,0,1,후측면,0,,,,,,
379,12.63,0,2,1,0,0,1,후측면,0,,,,,,
380,12.67,0,2,1,0,0,1,후측면,0,,,,,,
381,12.7,0,2,1,0,0,1,후측면,0,,,,,,
382,12.73,0,2,1,0,0,1,후측면,0,,,,,,
383,12.77,0,2,1,0,0,1,후측면,0,,,,,,
384,12.8,0,2,1,0,0,1,후측면,0,,,,,,
385,12.83,0,2,1,0,0,1,후측면,0,,,,,,
386,12.87,0,2,1,0,0,1,후측면,0,,,,,,
387,12.9,0,2,1,0,0,1,후측면,0,,,,,,
388,12.93,0,2,1,0,0,1,후측면,0,,,,,,
389,12.97,0,2,1,0,0,1,후측면,0,,,,,,
390,13.0,0,2,1,0,0,1,후측면,0,,,,,,
391,13.03,0,2,1,0,0,1,후측면,0,,,,,,
392,13.07,0,2,1,0,0,1,후측면,0,,,,,,
393,13.1,0,2,1,0,0,1,후측면,0,,,,,,
394,13.13,0,2,1,0,0,1,후측면,0,,,,,,
395,13.17,0,2,1,0,0,1,후측면,0,,,,,,
396,13.2,0,2,1,0,0,1,후측면,0,,,,,,
397,13.23,0,2,1,0,0,1,후측면,0,,,,,,
398,13.27,0,2,1,0,0,1,후측면,0,,,,,,
399,13.3,0,2,1,0,0,1,후측면,0,,,,,,
400,13.33,0,2,1,0,0,1,후측면,0,,,,,,
401,13.37,0,2,1,0,0,1,후측면,0,,,,,,
402,13.4,0,2,1,0,0,1,후측면,0,,,,,,
403,13.43,0,2,1,0,0,1,후측면,0,,,,,,
404,13.47,0,2,1,0,0,1,후측면,0,,,,,,
405,13.5,0,2,1,0,0,1,후측면,0,,,,,,
406,13.53,0,2,1,0,0,1,후측면,0,,,,,,
407,13.57,0,2,1,0,0,1,후측면,0,,,,,,
408,13.6,0,2,1,0,0,1,후측면,0,,,,,,
409,13.63,0,2,1,0,0,1,후측면,0,,,,,,
410,13.67,0,2,1,0,0,1,후측면,0,,,,,,
411,13.7,0,2,1,0,0,1,후측면,0,,,,,,
412,13.73,0,2,1,0,0,1,후측면,0,,,,,,
413,13.77,0,2,1,0,0,1,후측면,0,,,,,,
414,13.8,0,2,1,0,0,1,후측면,0,,,,,,
415,13.83,0,2,1,0,0,1,후측면,0,,,,,,
416,13.87,0,2,1,0,0,1,후측면,0,,,,,,
417,13.9,0,2,1,0,0,1,후측면,0,,,,,,
418,13.93,0,2,1,0,0,1,후측면,0,,,,,,
419,13.97,0,2,1,0,0,1,후측면,0,,,,,,
420,14.0,0,2,1,0,0,1,후측면,0,,,,,,
421,14.03,0,2,1,0,0,1,후측면,0,,,,,,
422,14.07,0,2,1,0,0,1,후측면,0,,,,,,
423,14.1,0,2,1,0,0,1,후측면,0,,,,,,
424,14.13,0,2,1,0,0,1,후측면,0,,,,,,
425,14.17,0,2,1,0,0,1,후측면,0,,,,,,
426,14.2,0,2,1,0,0,1,후측면,0,,,,,,
427,14.23,0,2,1,0,0,1,후측면,0,,,,,,
428,14.27,0,2,1,0,0,1,후측면,0,,,,,,
429,14.3,0,2,1,0,0,1,후측면,0,,,,,,
430,14.33,0,2,1,0,0,1,후측면,0,,,,,,
431,14.37,0,2,1,0,0,1,후측면,0,,,,,,
432,14.4,0,2,1,0,0,1,후측면,0,,,,,,
433,14.43,0,2,1,0,0,1,후측면,0,,,,,,
434,14.47,0,2,1,0,0,1,후측면,0,,,,,,
435,14.5,0,2,1,0,0,1,후측면,0,,,,,,
436,14.53,0,2,1,0,0,1,후측면,0,,,,,,
437,14.57,0,2,1,0,0,1,후측면,0,,,,,,
438,14.6,0,2,1,0,0,1,후측면,0,,,,,,
439,14.63,0,2,1,0,0,1,후측면,0,,,,,,
440,14.67,0,2,1,0,0,1,후측면,0,,,,,,
441,14.7,0,2,1,0,0,1,후측면,0,,,,,,
442,14.73,0,2,1,0,0,1,후측면,0,,,,,,
443,14.77,0,2,1,0,0,1,후측면,0,,,,,,
444,14.8,0,2,1,0,0,1,후측면,0,,,,,,
445,14.83,0,2,1,0,0,1,후측면,0,,,,,,
446,14.87,0,2,1,0,0,1,후측면,0,,,,,,
447,14.9,0,2,1,0,0,1,후측면,0,,,,,,
448,14.93,0,2,1,0,0,1,후측면,0,,,,,,
449,14.97,0,2,1,0,0,1,후측면,0,,,,,,
450,15.0,0,2,1,0,0,1,후측면,0,,,,,,
451,15.03,0,2,1,0,0,1,후측면,0,,,,,,
452,15.07,0,2,1,0,0,1,후측면,0,,,,,,
453,15.1,0,2,1,0,0,1,후측면,0,,,,,,
454,15.13,0,2,1,0,0,1,후측면,0,,,,,,
455,15.17,0,2,1,0,0,1,후측면,0,,,,,,
456,15.2,0,2,1,0,0,1,후측면,0,,,,,,
457,15.23,0,2,1,0,0,1,후측면,0,,,,,,
458,15.27,0,2,1,0,0,1,후측면,0,,,,,,
459,15.3,0,1,1,0,0,1,후측면,0,,,,,,
460,15.33,0,1,1,0,0,1,후측면,0,,,,,,
461,15.37,0,1,1,0,0,1,후측면,0,,,,,,
462,15.4,0,1,1,0,0,1,후측면,0,,,,,,
463,15.43,0,1,1,0,0,1,후측면,0,,,,,,
