frame,t,zone,n_obs,status,x,y,theta_deg,dist_plate,car_emblem,door_handle,fuel_cap,license_plate,side_mirror,tail_light
101,3.37,후측면,4,track(4),-3.534,-2.486,18.2,,0,2,1,0,0,1
102,3.4,후측면,4,track(4),-3.535,-2.486,18.0,,0,2,1,0,0,1
103,3.43,후측면,4,track(4),-3.534,-2.485,17.8,,0,2,1,0,0,1
104,3.47,후측면,4,track(4),-3.535,-2.485,17.7,,0,2,1,0,0,1
105,3.5,후측면,4,track(4),-3.534,-2.484,17.5,,0,2,1,0,0,1
106,3.53,후측면,4,track(4),-3.534,-2.484,17.3,,0,2,1,0,0,1
107,3.57,후측면,4,track(4),-3.534,-2.483,17.1,,0,2,1,0,0,1
108,3.6,후측면,4,track(4),-3.533,-2.482,17.0,,0,2,1,0,0,1
109,3.63,후측면,4,track(4),-3.532,-2.481,16.7,,0,2,1,0,0,1
110,3.67,후측면,4,track(4),-3.532,-2.48,16.5,,0,2,1,0,0,1
111,3.7,후측면,4,track(4),-3.531,-2.479,16.2,,0,2,1,0,0,1
112,3.73,후측면,4,track(4),-3.531,-2.478,15.9,,0,2,1,0,0,1
113,3.77,후측면,4,track(4),-3.53,-2.477,15.6,,0,2,1,0,0,1
114,3.8,후측면,4,track(4),-3.529,-2.476,15.4,,0,2,1,0,0,1
115,3.83,후측면,4,track(4),-3.528,-2.475,15.1,,0,2,1,0,0,1
116,3.87,후측면,4,track(4),-3.527,-2.473,14.9,,0,2,1,0,0,1
117,3.9,후측면,4,track(4),-3.526,-2.472,14.7,,0,2,1,0,0,1
118,3.93,후측면,4,track(4),-3.525,-2.471,14.5,,0,2,1,0,0,1
119,3.97,후측면,4,track(4),-3.524,-2.47,14.2,,0,2,1,0,0,1
120,4.0,후측면,5,track(5),-3.485,-2.439,16.6,,0,2,1,0,1,1
121,4.03,후측면,5,track(5),-3.444,-2.41,16.3,,0,2,1,0,1,1
122,4.07,후측면,5,track(5),-3.403,-2.382,15.8,,0,2,1,0,1,1
123,4.1,후측면,5,track(5),-3.361,-2.355,15.4,,0,2,1,0,1,1
124,4.13,후측면,5,track(5),-3.318,-2.329,15.0,,0,2,1,0,1,1
125,4.17,후측면,5,track(5),-3.275,-2.304,14.7,,0,2,1,0,1,1
126,4.2,후측면,5,track(5),-3.231,-2.28,14.3,,0,2,1,0,1,1
127,4.23,후측면,5,track(5),-3.186,-2.258,14.0,,0,2,1,0,1,1
128,4.27,후측면,5,track(5),-3.141,-2.237,13.7,,0,2,1,0,1,1
129,4.3,후측면,5,track(5),-3.094,-2.218,13.2,,0,2,1,0,1,1
130,4.33,후측면,5,track(5),-3.048,-2.2,12.7,,0,2,1,0,1,1
131,4.37,후측면,5,track(5),-3.0,-2.185,12.2,,0,2,1,0,1,1
132,4.4,후측면,5,track(5),-2.952,-2.171,11.8,,0,2,1,0,1,1
133,4.43,후측면,5,track(5),-2.903,-2.161,11.6,,0,2,1,0,1,1
134,4.47,후측면,5,track(5),-2.854,-2.153,11.4,,0,2,1,0,1,1
135,4.5,후측면,5,track(5),-2.804,-2.148,11.4,,0,2,1,0,1,1
136,4.53,후측면,5,track(5),-2.754,-2.148,11.4,,0,2,1,0,1,1
137,4.57,후측면,5,track(5),-2.704,-2.152,11.6,,0,2,1,0,1,1
138,4.6,후측면,5,track(5),-2.655,-2.163,11.9,,0,2,1,0,1,1
139,4.63,후측면,5,track(5),-2.609,-2.178,12.3,,0,2,1,0,1,1
140,4.67,후측면,5,track(5),-2.571,-2.196,12.8,,0,2,1,0,1,1
141,4.7,후측면,5,track(5),-2.536,-2.215,13.3,,0,2,1,0,1,1
142,4.73,후측면,5,track(5),-2.505,-2.234,13.8,,0,2,1,0,1,1
143,4.77,후측면,5,track(5),-2.477,-2.253,14.3,,0,2,1,0,1,1
144,4.8,후측면,5,track(5),-2.45,-2.27,14.7,,0,2,1,0,1,1
145,4.83,후측면,5,track(5),-2.426,-2.285,15.1,,0,2,1,0,1,1
146,4.87,후측면,5,track(5),-2.403,-2.3,15.5,,0,2,1,0,1,1
147,4.9,후측면,5,track(5),-2.381,-2.314,15.8,,0,2,1,0,1,1
148,4.93,후측면,5,track(5),-2.36,-2.326,16.1,,0,2,1,0,1,1
149,4.97,후측면,5,track(5),-2.341,-2.336,16.4,,0,2,1,0,1,1
150,5.0,후측면,5,track(5),-2.322,-2.346,16.6,,0,2,1,0,1,1
151,5.03,후측면,5,track(5),-2.304,-2.354,16.7,,0,2,1,0,1,1
152,5.07,후측면,5,track(5),-2.288,-2.362,16.9,,0,2,1,0,1,1
153,5.1,후측면,5,track(5),-2.272,-2.369,17.0,,0,2,1,0,1,1
154,5.13,후측면,5,track(5),-2.258,-2.376,17.1,,0,2,1,0,1,1
155,5.17,후측면,5,track(5),-2.245,-2.383,17.2,,0,2,1,0,1,1
156,5.2,후측면,5,track(5),-2.234,-2.389,17.2,,0,2,1,0,1,1
157,5.23,후측면,5,track(5),-2.223,-2.393,17.3,,0,2,1,0,1,1
158,5.27,후측면,5,track(5),-2.212,-2.398,17.2,,0,2,1,0,1,1
159,5.3,후측면,5,track(5),-2.202,-2.401,17.2,,0,2,1,0,1,1
160,5.33,후측면,5,track(5),-2.194,-2.406,17.1,,0,2,1,0,1,1
161,5.37,후측면,5,track(5),-2.186,-2.409,17.0,,0,2,1,0,1,1
162,5.4,후측면,5,track(5),-2.179,-2.412,16.9,,0,2,1,0,1,1
163,5.43,후측면,5,track(5),-2.171,-2.414,16.8,,0,2,1,0,1,1
164,5.47,후측면,5,track(5),-2.164,-2.416,16.7,,0,2,1,0,1,1
165,5.5,후측면,5,track(5),-2.158,-2.418,16.5,,0,2,1,0,1,1
166,5.53,후측면,5,track(5),-2.152,-2.421,16.3,,0,2,1,0,1,1
167,5.57,후측면,5,track(5),-2.148,-2.424,16.1,,0,2,1,0,1,1
168,5.6,후측면,5,track(5),-2.143,-2.425,15.9,,0,2,1,0,1,1
169,5.63,후측면,5,track(5),-2.138,-2.426,15.6,,0,2,1,0,1,1
170,5.67,후측면,5,track(5),-2.134,-2.427,15.4,,0,2,1,0,1,1
171,5.7,후측면,5,track(5),-2.13,-2.429,15.2,,0,2,1,0,1,1
172,5.73,후측면,5,track(5),-2.128,-2.43,15.0,,0,2,1,0,1,1
173,5.77,후측면,5,track(5),-2.126,-2.431,14.8,,0,2,1,0,1,1
174,5.8,후측면,5,track(5),-2.124,-2.432,14.7,,0,2,1,0,1,1
175,5.83,후측면,5,track(5),-2.122,-2.433,14.5,,0,2,1,0,1,1
176,5.87,후측면,5,track(5),-2.119,-2.433,14.3,,0,2,1,0,1,1
177,5.9,후측면,5,track(5),-2.118,-2.435,14.2,,0,2,1,0,1,1
178,5.93,후측면,5,track(5),-2.116,-2.435,13.9,,0,2,1,0,1,1
179,5.97,후측면,5,track(5),-2.115,-2.436,13.8,,0,2,1,0,1,1
180,6.0,후측면,5,track(5),-2.115,-2.438,13.6,,0,2,1,0,1,1
181,6.03,후측면,5,track(5),-2.114,-2.437,13.4,,0,2,1,0,1,1
182,6.07,후측면,5,track(5),-2.113,-2.437,13.2,,0,2,1,0,1,1
183,6.1,후측면,5,track(5),-2.112,-2.437,13.0,,0,2,1,0,1,1
184,6.13,후측면,5,track(5),-2.112,-2.437,12.9,,0,2,1,0,1,1
185,6.17,후측면,5,track(5),-2.111,-2.439,12.7,,0,2,1,0,1,1
186,6.2,후측면,5,track(5),-2.11,-2.442,12.6,,0,2,1,0,1,1
187,6.23,후측면,5,track(5),-2.109,-2.444,12.5,,0,2,1,0,1,1
188,6.27,후측면,5,track(5),-2.107,-2.447,12.4,,0,2,1,0,1,1
189,6.3,후측면,5,track(5),-2.104,-2.449,12.4,,0,2,1,0,1,1
190,6.33,후측면,5,track(5),-2.1,-2.453,12.3,,0,2,1,0,1,1
191,6.37,후측면,5,track(5),-2.097,-2.456,12.3,,0,2,1,0,1,1
192,6.4,후측면,5,track(5),-2.093,-2.46,12.2,,0,2,1,0,1,1
193,6.43,후측면,5,track(5),-2.09,-2.465,12.2,,0,2,1,0,1,1
194,6.47,후측면,5,track(5),-2.087,-2.469,12.2,,0,2,1,0,1,1
195,6.5,후측면,4,track(4),-2.06,-2.512,15.2,,0,2,1,0,1,0
196,6.53,후측면,4,track(4),-2.025,-2.547,17.2,,0,2,1,0,1,0
197,6.57,후측면,4,track(4),-1.985,-2.577,18.6,,0,2,1,0,1,0
198,6.6,후측면,3,track(3),-1.938,-2.561,15.9,,0,2,0,0,1,0
199,6.63,측면,3,track(3),-1.889,-2.549,15.9,,0,2,0,0,1,0
200,6.67,측면,3,track(3),-1.839,-2.548,16.4,,0,2,0,0,1,0
201,6.7,측면,3,track(3),-1.791,-2.559,17.3,,0,2,0,0,1,0
